ZCTAA,BLOCKA,INTPTLAT,INTPTLON,U7H001
90245,3001,33.9282259,-118.4268749,577
90245,2007,33.921009,-118.403058,535
90245,3000,33.9229187,-118.4074467,403
90247,2000,33.8968394,-118.3014858,1390
90247,1001,33.9054461,-118.2939267,1288
90247,3000,33.8748177,-118.2949349,1063
90248,1004,33.8836688,-118.2838644,679
90248,2014,33.8641079,-118.2949725,488
90248,1015,33.8874619,-118.2711796,484
90249,1000,33.8963068,-118.3312714,973
90249,1000,33.9056167,-118.3240103,586
90249,2005,33.8964924,-118.3280982,567
90250,1000,33.9073658,-118.3405739,2016
90250,1000,33.9073704,-118.3362386,1868
90250,1001,33.9109864,-118.3384034,1573
90254,4015,33.8543334,-118.3949954,732
90254,3015,33.8677609,-118.3949318,676
90254,2001,33.8672284,-118.398203,431
90260,1005,33.9000974,-118.3476109,822
90260,1002,33.8928429,-118.3467785,520
90260,1003,33.8928366,-118.3481644,454
90266,3007,33.889489,-118.3861528,338
90266,4001,33.8898661,-118.410959,335
90266,1001,33.8981279,-118.384679,310
90277,1007,33.851913,-118.3816698,1716
90277,1002,33.8337216,-118.3900969,805
90277,3003,33.8325793,-118.3773154,766
90278,1005,33.8711363,-118.3599171,515
90278,4010,33.8600549,-118.3688486,415
90278,4008,33.8604939,-118.3708506,393
90501,2001,33.8224623,-118.3111431,754
90501,1007,33.8168566,-118.3023213,612
90501,2003,33.8226207,-118.3049287,584
90502,2004,33.8216434,-118.2924289,1915
90502,1003,33.833158,-118.2920444,1017
90502,3009,33.8262197,-118.292511,764
90503,1000,33.8422608,-118.3514619,1306
90503,1008,33.8440744,-118.3514624,1277
90503,2000,33.8423652,-118.3472764,1043
90504,4000,33.8739291,-118.3326418,1061
90504,1003,33.8804683,-118.3330855,775
90504,3004,33.8664568,-118.3508395,629
90505,1005,33.8124549,-118.3631722,1516
90505,2011,33.8152714,-118.3454276,939
90505,3013,33.8073975,-118.3534309,781
90506,2008,33.8865407,-118.3336164,0
90506,2009,33.8872333,-118.3349822,0
90506,2015,33.8846956,-118.329998,0
90710,1000,33.8001713,-118.301181,1719
90710,1009,33.7938079,-118.2930258,835
90710,1000,33.7863048,-118.2985685,798
90717,1001,33.7872795,-118.3186977,1448
90717,1008,33.7828158,-118.316572,1223
90717,2000,33.787659,-118.3250278,1101
90731,1015,33.726724,-118.2670791,1561
90731,3000,33.7171918,-118.2855912,661
90731,1000,33.7448971,-118.2816858,571
90732,2002,33.7645156,-118.3094781,880
90732,2005,33.7246561,-118.3260126,760
90732,1008,33.7411716,-118.3150067,705
90744,1000,33.7830676,-118.2871133,700
90744,1005,33.7742959,-118.2730947,644
90744,2005,33.7854102,-118.274001,608
90745,2001,33.8264794,-118.2693022,2010
90745,1009,33.8375717,-118.269946,1351
90745,2001,33.8171105,-118.2791436,1195
90746,2002,33.8709192,-118.2544943,1518
90746,1010,33.8640813,-118.254834,693
90746,3017,33.8682543,-118.259348,596
90747,1017,33.8628997,-118.2513185,12
90747,1018,33.8641644,-118.2513686,10
90755,2006,33.7971171,-118.1650187,862
90755,2003,33.7993118,-118.1695768,680
90755,1002,33.8007165,-118.161084,459
90802,1000,33.7643355,-118.17994,1325
90802,1002,33.7637549,-118.1711608,1237
90802,2013,33.7657998,-118.1933605,925
90806,3007,33.8179676,-118.1966809,716
90806,2000,33.8034875,-118.1866065,510
90806,1004,33.8010591,-118.183118,499
90807,2000,33.8396864,-118.1659499,1138
90807,4001,33.820527,-118.1871992,1040
90807,4010,33.8205766,-118.1955202,599
90810,4010,33.7936818,-118.2219877,1071
90810,1002,33.8134957,-118.2198599,1015
90810,2000,33.8179976,-118.2182551,1000
90813,3005,33.7850803,-118.1957099,797
90813,2004,33.7774683,-118.180094,611
90813,2000,33.779878,-118.1728028,596
